title;artist;album;isrc;addedDate;addedBy;duration;url
Clocks;Coldplay;"A Rush of Blood to the Head";GBAYE0200771;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;308s;https://open.spotify.com/track/0BCPKOYdS2jbQ8iyB56Zns
Yellow;Coldplay;Parachutes;GBAYE0000267;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;267s;https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
"People of The Pride";Coldplay;"Music Of The Spheres";GBAYE2100949;"2021-10-22 00:14";sj1bdpnkh9q3knr3ss718da1d;217s;https://open.spotify.com/track/5ophZLHA9mwSZhQSmboyDN
"Have Yourself a Merry Little Christmas - Jo Whiley, BBC Radio 1 Session";Coldplay;"Have Yourself a Merry Little Christmas (Jo Whiley, BBC Radio 1 Session)";GBCAD1700843;"2022-01-03 20:08";sj1bdpnkh9q3knr3ss718da1d;139s;https://open.spotify.com/track/4cLMJLCJS4tXQoH416h77P
"Christmas Lights";Coldplay;"Christmas Lights";GBAYE1001401;"2022-01-03 20:08";sj1bdpnkh9q3knr3ss718da1d;242s;https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
"My Universe";"Coldplay, BTS";"My Universe";GBAYE2100952;"2021-09-30 19:26";sj1bdpnkh9q3knr3ss718da1d;228s;https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
"Come Over (Again)";Crawlers;"Crawlers - EP";GB8MX2100935;"2021-12-21 22:54";sj1bdpnkh9q3knr3ss718da1d;254s;https://open.spotify.com/track/4PDJDIdWxNN1AlnbrKkoPf
"Record Player (with AJR)";"Daisy the Great, AJR";"Record Player (with AJR)";USHR12141957;"2021-09-08 23:40";sj1bdpnkh9q3knr3ss718da1d;150s;https://open.spotify.com/track/4jYt1pQqg2mIZmY4FWCZEM
"Fast Talk";"Dawn Golden, Houses";"Drugstore Heaven";GBKPL1803602;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;260s;https://open.spotify.com/track/5EtH1ayqDJar2PfAw7sC5O
"Where Do You Go";"Day Wave";"Where Do You Go";GBENL2103131;"2021-12-06 23:36";sj1bdpnkh9q3knr3ss718da1d;202s;https://open.spotify.com/track/6fFV8yGBRnXRYkXDzXLgQG
"Close To You";Dayglow;"Close To You";GBKPL2035998;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;195s;https://open.spotify.com/track/4ReJJcpW8HtVnqzhf6DwNV
"Can I Call You Tonight?";Dayglow;Fuzzybrain;TCADL1825079;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;279s;https://open.spotify.com/track/64lsIF5pw0sJY0gV5kz0RN
"Close To You";Dayglow;"Harmony House";GBKPL2035998;"2022-01-03 20:08";sj1bdpnkh9q3knr3ss718da1d;195s;https://open.spotify.com/track/0brBOx8ejPXvBYnQkWquYK
"Soul Meets Body";"Death Cab for Cutie";Plans;USAT20504676;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;229s;https://open.spotify.com/track/5yc59J3MR3tVDPTOgwgRI5
"I Will Possess Your Heart";"Death Cab for Cutie";"Narrow Stairs";USAT20801461;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;506s;https://open.spotify.com/track/77vYwoC7e3pVoPq8BA9CuL
"Christmas (Baby Please Come Home)";"Death Cab for Cutie";"Maybe This Christmas Tree";USBS50410365;"2022-01-03 20:08";sj1bdpnkh9q3knr3ss718da1d;186s;https://open.spotify.com/track/2ab2qqvjg3PRFMVYrkoeLD
"The New Year";"Death Cab for Cutie";"Transatlanticism (10th Anniversary Edition)";USBS50310279;"2022-01-03 20:08";sj1bdpnkh9q3knr3ss718da1d;246s;https://open.spotify.com/track/4Y2cR1AEADE6FyNVnuaWhZ
Brazil;"Declan McKenna";"What Do You Think About the Car?";GBARL1500856;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;252s;https://open.spotify.com/track/4sNG6zQBmtq7M8aeeKJRMQ
Perfume;"Del Water Gap";Perfume;USQE92100101;"2021-08-20 19:44";sj1bdpnkh9q3knr3ss718da1d;232s;https://open.spotify.com/track/3wJAk2rKEEoYlXSLpLVrkU
"3 Nights";"Dominic Fike";"Don't Forget About Me, Demos";USQX91802455;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;178s;https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
"Sweet Disaster";DREAMERS;"This Album Does Not Exist";USHR11637203;"2021-11-15 20:38";sj1bdpnkh9q3knr3ss718da1d;205s;https://open.spotify.com/track/7bEDDsy2LFC0KSqhZp5nPE
"Home - 2019 - Remaster";"Edward Sharpe & The Magnetic Zeros";"Up From Below (10th Anniversary Edition) [2019 - Remaster]";QMRSZ1901643;"2021-11-09 02:02";sj1bdpnkh9q3knr3ss718da1d;306s;https://open.spotify.com/track/7KWGfnsUU4Ri46TIvjpAPx
"Highschool Steady";"Eli Smart";"Boonie Town";GBUM72100225;"2021-12-21 22:54";sj1bdpnkh9q3knr3ss718da1d;260s;https://open.spotify.com/track/4QMxpwLOwo4PIxpIMYjbAP
